 Date,Mine,No.of fatalities,Gender,Occupation,Accident Location,Incident Description
1/15/2024,Saraji Mine,1,Male,Engineering and Maintenance worker,Surface,A coal mine worker suffered fatal crush injuries when he was pinned between the tray of a moving light vehicle and the bull bar of a stationary B-double truck.
3/25/2022,Moranbah North,1,Male,Contractor,Underground,"Task involving the utilisation of chain blocks and slings to remove a conveyor drive. During the lift, the slung load has moved and fell, resulting in head injuries to the coal mine worker."
11/21/2021,Curragh Mine,1,Male,Dragline Operator,Surface,"At 12:24am on 21 November 2021, in S147 pit at Curragh North, a coal mine worker, (CMW) was struck from behind by the Rear Tub PTZ camera affixed under the house of dragline DL301 and knocked to the ground. The left-hand dragline shoe passed over the CMW, resulting in the CMW sustaining significant injuries which were ultimately fatal (Incident)."
9/14/2021,Crinum Underground Mine,1,Male,Employee,Underground,A coal mine worker was fatally injured when a significant fall of ground from the roof area of the drift fell on to the man basket he was working from.
1/12/2020,Curragh Mine,1,Male,Fitter (Contractor),Surface,A coal worker was changing a tyre on a float. The coal mine worker was found unresponsive trapped underneath the tyre.
11/25/2019,Carborough Downs Coal Mine,1,Male,Electrician Employee,Underground,A coal mine worker was fatally injured when coal fell from a long wall face.  The coal mine worker was recovered by emergency responders and was unable to be resuscitated.
7/07/2019,Baralaba Coal Mine,1,Male,Excavator operator Employee,Surface,A coal mine worker was found entangled in an excavator access ladder. The coal mine worker was recovered by emergency responders and was unable to be resuscitated.
6/26/2019,Middlemount Mine,1,Male,Excavator operator Employee,Surface,A coal mine worker was fatally injured while he was operating an excavator at an open cut coal mine when an adjacent pit wall 40 metres high suddenly failed.  This resulted in fallen material engulfing the excavator and partially crushing the excavator’s cabin
2/20/2019,Moranbah North Mine,1,Male,Grader Operator Employee,Underground,A grader operator received fatal injuries when a grader exiting an underground coal mine rolled down the drift and collided with a man transporter.
31/12/2018,Saraji Mine,1,Male,Dozer Operator (Contractor),Surface,"An experienced coal mine worker was fatally injured while traversing a bulldozer along a bench. The bulldozer went over the bench’s crest and rolled downwards approximately 20 metres, coming to rest on its roof in an area of mud and water approximately two metres deep. "
5/08/2017,Goonyella Riverside,1,Male,Contractor Boilermaker,Surface,Two contractor coal mine workers were refurbishing an excavator bucket  in the bucket repair shop near the main surface workshop. One worker was engaged in air arc gouging the wear plate when he was struck in the head by the plate as this suddenly released resulting in a fatal injury.
30/08/2016,Newlands Open Cut Mine,1,Male,Contractor Rigger,Surface,"Contractor coal mine workers were working on a primary crusher return feeder pan. When the feeder return pan was un-bolted, it swung and struck one of the coal mine workers, resulting in a fatality."
12/03/2015,Blackwater Mine,1,Male,Contractor miner,Surface,"A 4WD bus veered from the left hand side to the right hand side of a haul road, collided with a bund and overturned. A mineworker in the bus was thrown out and crushed under the overturning bus."
16/02/2015,Dawson Mine,1,Male,Contractor fitter,Surface,"While conducting tyre fitting operations on the position 1 wheel of a Cat 777 water cart, a tyre fitting failure occurred resulting in one worker sustaining fatal injuries and the other sustaining significant injuries."
11/12/2014,Grasstree Mine,1,Male,Contractor driller,Underground,"A mineworker  was installing secondary support and was fatally injured by a piece of ""rib"" which broke away and struck him."
6/05/2014,Grasstree Mine,1,Male,Electrician Employee,Underground,A worker entered an irrespirable atmosphere.
12/18/2010,Foxleigh Open-Cut Mine,1,Male,ContractorTruck Driver,Surface,"The truck driver had replaced a tyre on an unloaded road train trailer and was removing the jack when the tyre burst without warning, fatally injuring him."
8/31/2010,Curragh,1,Male,Contractor,Surface,A light vehicle containing four persons was involved in a single vehicle rollover on a haul road near the top of a ramp.  The driver of the vehicle had lost control on a recently watered section of road.
2/20/2009,Blackwater,1,Male,Service Technician (Contract),Surface,Fatally injured when light vehicle collided with rear of low loader.
9/29/2008,Hyde Park Station – Exploration Site,1,Male,Contract Truck Driver,Surface,Water truck driver crushed between water diffuser outlet pipe on rear of truck and the gate. Truck possibly rolled back while deceased was closing the gate.
4/9/2007,Moranbah North,1,Male,Miner (Contractor),Underground,Deceased was caught between shuttle care and rib at the face of 1st workings
9/19/2005,Dawson Open Cut Mine,1,Male,Senior Mining Engineer Employee ,Surface,Found deceased on the edge of a body of water at the bottom of the highwall.
8/7/2005,Foxleigh Open Cut Mine,1,Male,Contractor Truck Operator,Surface,Fatally injured while removing tyre from coal haulage truck which forcibly ejected.
4/12/2002,Blackwater Open-cut Coal Mine,1,Male,Contract,Surface,Fatally injured by crush injuries from the jib of a truck rear mounted crane.
8/30/2000,Cook Colliery,1,Male,Miner,Underground,Fatally injured by a rib fall in 12 East Panel.
